baseYmd,areaCd,areaNm,signguCd,signguNm,tAtsNm,cnctrRate
20250313,11,서울특별시,11110,종로구,가회민화박물관,92.99
20250314,11,서울특별시,11110,종로구,가회민화박물관,93.01
20250315,11,서울특별시,11110,종로구,가회민화박물관,99.99
20250316,11,서울특별시,11110,종로구,가회민화박물관,99.97
20250317,11,서울특별시,11110,종로구,가회민화박물관,91.18
20250318,11,서울특별시,11110,종로구,가회민화박물관,93.01
20250319,11,서울특별시,11110,종로구,가회민화박물관,92.99
20250320,11,서울특별시,11110,종로구,가회민화박물관,96.48
20250321,11,서울특별시,11110,종로구,가회민화박물관,96.48
20250322,11,서울특별시,11110,종로구,가회민화박물관,99.99
20250323,11,서울특별시,11110,종로구,가회민화박물관,99.98
20250324,11,서울특별시,11110,종로구,가회민화박물관,91.18
20250325,11,서울특별시,11110,종로구,가회민화박물관,93.01
20250326,11,서울특별시,11110,종로구,가회민화박물관,92.99
20250327,11,서울특별시,11110,종로구,가회민화박물관,96.48
20250328,11,서울특별시,11110,종로구,가회민화박물관,98.99
20250329,11,서울특별시,11110,종로구,가회민화박물관,99.99
20250330,11,서울특별시,11110,종로구,가회민화박물관,99.97
20250331,11,서울특별시,11110,종로구,가회민화박물관,91.19
20250401,11,서울특별시,11110,종로구,가회민화박물관,93.01
20250402,11,서울특별시,11110,종로구,가회민화박물관,92.99
20250403,11,서울특별시,11110,종로구,가회민화박물관,92.99
20250404,11,서울특별시,11110,종로구,가회민화박물관,99.14
20250405,11,서울특별시,11110,종로구,가회민화박물관,99.99
20250406,11,서울특별시,11110,종로구,가회민화박물관,99.98
20250407,11,서울특별시,11110,종로구,가회민화박물관,93.01
20250408,11,서울특별시,11110,종로구,가회민화박물관,92.99
20250409,11,서울특별시,11110,종로구,가회민화박물관,98.99
20250410,11,서울특별시,11110,종로구,가회민화박물관,98.99
20250411,11,서울특별시,11110,종로구,가회민화박물관,99.14
20250313,11,서울특별시,11110,종로구,감로암(서울),74.01
20250314,11,서울특별시,11110,종로구,감로암(서울),74.07
20250315,11,서울특별시,11110,종로구,감로암(서울),81.89
20250316,11,서울특별시,11110,종로구,감로암(서울),71.39
20250317,11,서울특별시,11110,종로구,감로암(서울),74.2
20250318,11,서울특별시,11110,종로구,감로암(서울),75.62
20250319,11,서울특별시,11110,종로구,감로암(서울),74.07
20250320,11,서울특별시,11110,종로구,감로암(서울),74.53
20250321,11,서울특별시,11110,종로구,감로암(서울),74.01
20250322,11,서울특별시,11110,종로구,감로암(서울),81.96
20250323,11,서울특별시,11110,종로구,감로암(서울),71.24
20250324,11,서울특별시,11110,종로구,감로암(서울),74.2
20250325,11,서울특별시,11110,종로구,감로암(서울),75.62
20250326,11,서울특별시,11110,종로구,감로암(서울),74.01
20250327,11,서울특별시,11110,종로구,감로암(서울),74.53
20250328,11,서울특별시,11110,종로구,감로암(서울),74.58
20250329,11,서울특별시,11110,종로구,감로암(서울),81.97
20250330,11,서울특별시,11110,종로구,감로암(서울),71.39
20250331,11,서울특별시,11110,종로구,감로암(서울),74.36
20250401,11,서울특별시,11110,종로구,감로암(서울),75.62
20250402,11,서울특별시,11110,종로구,감로암(서울),74.01
20250403,11,서울특별시,11110,종로구,감로암(서울),74.01
20250404,11,서울특별시,11110,종로구,감로암(서울),71.72
20250405,11,서울특별시,11110,종로구,감로암(서울),81.97
20250406,11,서울특별시,11110,종로구,감로암(서울),71.24
20250407,11,서울특별시,11110,종로구,감로암(서울),75.62
20250408,11,서울특별시,11110,종로구,감로암(서울),74.07
20250409,11,서울특별시,11110,종로구,감로암(서울),74.58
20250410,11,서울특별시,11110,종로구,감로암(서울),74.58
20250411,11,서울특별시,11110,종로구,감로암(서울),71.72
20250313,11,서울특별시,11110,종로구,경복궁,99.92
20250314,11,서울특별시,11110,종로구,경복궁,99.92
20250315,11,서울특별시,11110,종로구,경복궁,100
20250316,11,서울특별시,11110,종로구,경복궁,99.99
20250317,11,서울특별시,11110,종로구,경복궁,99.54
20250318,11,서울특별시,11110,종로구,경복궁,99.92
20250319,11,서울특별시,11110,종로구,경복궁,99.92
20250320,11,서울특별시,11110,종로구,경복궁,99.92
20250321,11,서울특별시,11110,종로구,경복궁,99.92
20250322,11,서울특별시,11110,종로구,경복궁,100
20250323,11,서울특별시,11110,종로구,경복궁,99.99
20250324,11,서울특별시,11110,종로구,경복궁,99.57
20250325,11,서울특별시,11110,종로구,경복궁,99.92
20250326,11,서울특별시,11110,종로구,경복궁,99.92
20250327,11,서울특별시,11110,종로구,경복궁,99.92
20250328,11,서울특별시,11110,종로구,경복궁,99.92
20250329,11,서울특별시,11110,종로구,경복궁,100
20250330,11,서울특별시,11110,종로구,경복궁,99.99
20250331,11,서울특별시,11110,종로구,경복궁,99.9
20250401,11,서울특별시,11110,종로구,경복궁,99.92
20250402,11,서울특별시,11110,종로구,경복궁,99.92
20250403,11,서울특별시,11110,종로구,경복궁,99.92
20250404,11,서울특별시,11110,종로구,경복궁,99.94
20250405,11,서울특별시,11110,종로구,경복궁,100
20250406,11,서울특별시,11110,종로구,경복궁,99.99
20250407,11,서울특별시,11110,종로구,경복궁,99.92
20250408,11,서울특별시,11110,종로구,경복궁,99.92
20250409,11,서울특별시,11110,종로구,경복궁,99.92
20250410,11,서울특별시,11110,종로구,경복궁,99.92
20250411,11,서울특별시,11110,종로구,경복궁,99.94
20250313,11,서울특별시,11110,종로구,경운동민병옥가옥,93.83
20250314,11,서울특별시,11110,종로구,경운동민병옥가옥,93.85
20250315,11,서울특별시,11110,종로구,경운동민병옥가옥,99.05
20250316,11,서울특별시,11110,종로구,경운동민병옥가옥,97.23
20250317,11,서울특별시,11110,종로구,경운동민병옥가옥,94.84
20250318,11,서울특별시,11110,종로구,경운동민병옥가옥,93.85
20250319,11,서울특별시,11110,종로구,경운동민병옥가옥,93.83
20250320,11,서울특별시,11110,종로구,경운동민병옥가옥,93.63
20250321,11,서울특별시,11110,종로구,경운동민병옥가옥,93.83
20250322,11,서울특별시,11110,종로구,경운동민병옥가옥,99.1
20250323,11,서울특별시,11110,종로구,경운동민병옥가옥,98.18
20250324,11,서울특별시,11110,종로구,경운동민병옥가옥,94.82
20250325,11,서울특별시,11110,종로구,경운동민병옥가옥,93.85
20250326,11,서울특별시,11110,종로구,경운동민병옥가옥,93.83
20250327,11,서울특별시,11110,종로구,경운동민병옥가옥,93.63
20250328,11,서울특별시,11110,종로구,경운동민병옥가옥,93.63
20250329,11,서울특별시,11110,종로구,경운동민병옥가옥,99.11
20250330,11,서울특별시,11110,종로구,경운동민병옥가옥,98.18
20250331,11,서울특별시,11110,종로구,경운동민병옥가옥,94.82
20250401,11,서울특별시,11110,종로구,경운동민병옥가옥,93.85
20250402,11,서울특별시,11110,종로구,경운동민병옥가옥,93.83
20250403,11,서울특별시,11110,종로구,경운동민병옥가옥,93.83
20250404,11,서울특별시,11110,종로구,경운동민병옥가옥,95.42
20250405,11,서울특별시,11110,종로구,경운동민병옥가옥,99.09
20250406,11,서울특별시,11110,종로구,경운동민병옥가옥,98.18
20250407,11,서울특별시,11110,종로구,경운동민병옥가옥,95.75
20250408,11,서울특별시,11110,종로구,경운동민병옥가옥,93.83
20250409,11,서울특별시,11110,종로구,경운동민병옥가옥,93.63
20250410,11,서울특별시,11110,종로구,경운동민병옥가옥,93.63
20250411,11,서울특별시,11110,종로구,경운동민병옥가옥,95.42
20250313,11,서울특별시,11110,종로구,경찰박물관,57.18
20250314,11,서울특별시,11110,종로구,경찰박물관,57.18
20250315,11,서울특별시,11110,종로구,경찰박물관,61.88
20250316,11,서울특별시,11110,종로구,경찰박물관,57.17
20250317,11,서울특별시,11110,종로구,경찰박물관,78.46
20250318,11,서울특별시,11110,종로구,경찰박물관,57.38
