,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,pet,formatted_text
0,서울특별시 성동구 고산자로 71 (성수동1가),,1,A02,A0203,A02030400,3440844,관광지,20241210133055,http://tong.visitkorea.or.kr/cms/resource/23/3440823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3440823_image3_1.jpg,Type1,127.0361052512,37.5457465853,6,20241227133142,16,0507-1357-8670,거꾸로하우스,04771,반려동물 동반 가능,[장소]서울특별시 성동구 고산자로 71 (성수동1가) [지역] 거꾸로하우스 [전화번호] 0507-1357-8670 [반려동물여부] 반려동물 동반 가능 [카테고리] 관광지
1,서울특별시 강남구 압구정로34길 33,"(신사동,현대맨션) 22-2-2",1,B02,B0201,B02011100,2607620,숙박,20190621194135,,,,127.0309007260,37.5261154387,,20241126105220,1,010-8282-3580,게스트하우스강남,06023,반려동물 동반 가능,[장소]서울특별시 강남구 압구정로34길 33 [지역] 게스트하우스강남 [전화번호] 010-8282-3580 [반려동물여부] 반려동물 동반 가능 [카테고리] 숙박
2,서울특별시 종로구 북촌로12길 35-1,,1,B02,B0201,B02011600,2950469,숙박,20230220105725,http://tong.visitkorea.or.kr/cms/resource/08/2948908_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/08/2948908_image3_1.JPG,Type1,126.9858393299,37.5830052419,6,20241209113350,23,0507-1466-0232,고운[한국관광 품질인증/Korea Quality],03056,반려동물 동반 가능,[장소]서울특별시 종로구 북촌로12길 35-1 [지역] 고운[한국관광 품질인증/Korea Quality] [전화번호] 0507-1466-0232 [반려동물여부] 반려동물 동반 가능 [카테고리] 숙박
3,서울특별시 마포구 백범로15길 27 (대흥동),,1,B02,B0201,B02011100,3438351,숙박,20241206105557,,,,126.9431719619,37.5488806651,6,20250120115141,13,0507-1403-9314,관숙,04136,반려동물 동반 가능,[장소]서울특별시 마포구 백범로15길 27 (대흥동) [지역] 관숙 [전화번호] 0507-1403-9314 [반려동물여부] 반려동물 동반 가능 [카테고리] 숙박
4,서울특별시 서초구 사임당로17길 116 서초삼성래미안아파트,,1,B02,B0201,B02011100,2528117,숙박,20180104002417,http://tong.visitkorea.or.kr/cms/resource/81/2529081_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2529081_image3_1.jpg,Type3,127.0190443994,37.4933329219,6,20241222174405,15,010-7390-5901,교대게스트하우스,06635,반려동물 동반 가능,[장소]서울특별시 서초구 사임당로17길 116 서초삼성래미안아파트 [지역] 교대게스트하우스 [전화번호] 010-7390-5901 [반려동물여부] 반려동물 동반 가능 [카테고리] 숙박
5,서울특별시 구로구 구로중앙로42길 27,구로구 반려견 놀이터,1,A02,A0202,A02020700,3112063,관광지,20240328195446,,,,126.8757403642,37.5082258503,6,20240328214257,7,,구로구 반려견 놀이터,08205,반려동물 동반 가능,[장소]서울특별시 구로구 구로중앙로42길 27 [지역] 구로구 반려견 놀이터 [전화번호]  [반려동물여부] 반려동물 동반 가능 [카테고리] 관광지
6,서울특별시 동대문구 서울시립대로25길 10 (전농동),B101호,1,B02,B0201,B02011100,3438659,숙박,20241206132405,,,,127.0522138438,37.5827620188,6,20241218152408,11,010-7656-3228,그루브하우스,02557,반려동물 동반 가능,[장소]서울특별시 동대문구 서울시립대로25길 10 (전농동) [지역] 그루브하우스 [전화번호] 010-7656-3228 [반려동물여부] 반려동물 동반 가능 [카테고리] 숙박
7,서울특별시 마포구 양화로12길 8-12,(서교동),1,B02,B0201,B02011100,2576469,숙박,20181211200847,http://tong.visitkorea.or.kr/cms/resource/89/2576089_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2576089_image2_1.jpg,Type3,126.9179214153,37.5513826997,,20241126113818,13,"010-9992-1888, 010-9778-6518",나루게스트하우스,04043,반려동물 동반 가능,"[장소]서울특별시 마포구 양화로12길 8-12 [지역] 나루게스트하우스 [전화번호] 010-9992-1888, 010-9778-6518 [반려동물여부] 반려동물 동반 가능 [카테고리] 숙박"
8,서울특별시 마포구 양화로 177-1,(동교동),1,B02,B0201,B02011100,2607806,숙박,20190624194300,,,,126.9247400491,37.5580626011,,20241126113903,13,02-3142-8889,나비호스텔,03994,반려동물 동반 가능,[장소]서울특별시 마포구 양화로 177-1 [지역] 나비호스텔 [전화번호] 02-3142-8889 [반려동물여부] 반려동물 동반 가능 [카테고리] 숙박
9,서울특별시 종로구 낙산길 41,(동숭동),1,A02,A0202,A02020700,129501,관광지,20070403090000,http://tong.visitkorea.or.kr/cms/resource/09/3095709_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3095709_image3_1.jpg,Type1,127.0065125148,37.5805725621,6,20241209141014,23,,낙산공원,03085,반려동물 동반 가능,[장소]서울특별시 종로구 낙산길 41 [지역] 낙산공원 [전화번호]  [반려동물여부] 반려동물 동반 가능 [카테고리] 관광지
10,서울특별시 중구 퇴계로34길 28,(필동2가),1,A02,A0201,A02010600,126747,관광지,20040216090000,http://tong.visitkorea.or.kr/cms/resource/62/1946562_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1946562_image3_1.jpg,Type3,126.9940059289,37.5591248302,6,20241205141809,24,,남산골한옥마을,04626,반려동물 동반 가능,[장소]서울특별시 중구 퇴계로34길 28 [지역] 남산골한옥마을 [전화번호]  [반려동물여부] 반려동물 동반 가능 [카테고리] 관광지
