rlteRegnCd,rlteSignguCd,rlteRegnNm,baseYm,rlteTatsNm,tAtsNm,signguCd,rlteRank,signguNm,rlteCtgrySclsNm,areaCd,rlteCtgryLclsNm,rlteCtgryMclsNm,rlteBsicAdres,areaNm,rlteSignguNm
11,11110,서울특별시,202410,무궁화동산,가회민화박물관,11110,1,종로구,도시공원,11,관광지,문화관광,서울 종로구,서울특별시,종로구
11,11110,서울특별시,202410,국립민속박물관,가회민화박물관,11110,2,종로구,전시시설,11,관광지,문화관광,서울 종로구 삼청로 37-0,서울특별시,종로구
11,11140,서울특별시,202410,라마다호텔앤스위트/서울남대문,가회민화박물관,11110,3,종로구,호텔,11,숙박,숙박,서울 중구 칠패로 27-0,서울특별시,중구
11,11110,서울특별시,202410,조계사,경교장,11110,1,종로구,종교성지,11,관광지,역사관광,서울 종로구 우정국로 55-0,서울특별시,종로구
11,11110,서울특별시,202410,경희궁,경교장,11110,2,종로구,역사유적지,11,관광지,역사관광,서울 종로구 새문안로 55-0,서울특별시,종로구
11,11110,서울특별시,202410,북촌한옥마을,경복궁,11110,1,종로구,역사유적지,11,관광지,역사관광,서울 종로구,서울특별시,종로구
11,11110,서울특별시,202410,토속촌삼계탕,경복궁,11110,2,종로구,한식,11,음식,음식,서울 종로구 자하문로5길 5-0,서울특별시,종로구
11,11410,서울특별시,202410,서대문형무소역사관,경복궁,11110,3,종로구,전시시설,11,관광지,문화관광,서울 서대문구 통일로 251-0,서울특별시,서대문구
11,11110,서울특별시,202410,청와대,경복궁,11110,4,종로구,기타관광,11,관광지,기타관광,서울 종로구 청와대로 1-0,서울특별시,종로구
11,11170,서울특별시,202410,남산서울타워,경복궁,11110,5,종로구,랜드마크관광,11,관광지,문화관광,서울 용산구 남산공원길 105-0,서울특별시,용산구
11,11110,서울특별시,202410,광장시장,경복궁,11110,6,종로구,시장,11,관광지,쇼핑,서울 종로구 창경궁로 88-0,서울특별시,종로구
11,11110,서울특별시,202410,팔각정북악스카이,경복궁,11110,7,종로구,랜드마크관광,11,관광지,문화관광,서울 종로구 북악산로 267-0,서울특별시,종로구
11,11110,서울특별시,202410,국립현대미술관/서울관,경복궁,11110,8,종로구,전시시설,11,관광지,문화관광,서울 종로구 삼청로 30-0,서울특별시,종로구
11,11140,서울특별시,202410,남산케이블카,경복궁,11110,9,종로구,기타관광,11,관광지,기타관광,서울 중구 소파로 83-0,서울특별시,중구
11,11170,서울특별시,202410,국립중앙박물관,경복궁,11110,10,종로구,전시시설,11,관광지,문화관광,서울 용산구 서빙고로 137-0,서울특별시,용산구
11,11110,서울특별시,202410,조계사,경복궁,11110,11,종로구,종교성지,11,관광지,역사관광,서울 종로구 우정국로 55-0,서울특별시,종로구
11,11110,서울특별시,202410,창경궁,경복궁,11110,12,종로구,역사유적지,11,관광지,역사관광,서울 종로구 창경궁로 185-0,서울특별시,종로구
11,11140,서울특별시,202410,덕수궁,경복궁,11110,13,종로구,역사유적지,11,관광지,역사관광,서울 중구 세종대로 99-0,서울특별시,중구
11,11110,서울특별시,202410,삼청동수제비/본점,경복궁,11110,14,종로구,한식,11,음식,음식,서울 종로구 삼청로 101-1,서울특별시,종로구
11,11140,서울특별시,202410,롯데호텔/서울점,경복궁,11110,15,종로구,호텔,11,숙박,숙박,서울 중구 을지로 30-0,서울특별시,중구
11,11110,서울특별시,202410,청와대/정문,경복궁,11110,16,종로구,기타관광,11,관광지,기타관광,서울 종로구 청와대로 1-0,서울특별시,종로구
11,11140,서울특별시,202410,호텔유파이브,경복궁,11110,17,종로구,호텔,11,숙박,숙박,서울 중구 동호로 369-0,서울특별시,중구
11,11110,서울특별시,202410,국립고궁박물관,경복궁,11110,18,종로구,전시시설,11,관광지,문화관광,서울 종로구 효자로 12-0,서울특별시,종로구
11,11110,서울특별시,202410,청와대사랑채,경복궁,11110,19,종로구,전시시설,11,관광지,문화관광,서울 종로구 효자로13길 45-0,서울특별시,종로구
11,11110,서울특별시,202410,서울역사박물관,경복궁,11110,20,종로구,전시시설,11,관광지,문화관광,서울 종로구 새문안로 55-0,서울특별시,종로구
11,11110,서울특별시,202410,마로니에공원,경복궁,11110,21,종로구,도시공원,11,관광지,문화관광,서울 종로구 대학로 104-0,서울특별시,종로구
11,11110,서울특별시,202410,애슐리퀸즈/종각역점,경복궁,11110,22,종로구,전문음식,11,음식,음식,서울 종로구 종로 51-0,서울특별시,종로구
11,11170,서울특별시,202410,전쟁기념관,경복궁,11110,23,종로구,전시시설,11,관광지,문화관광,서울 용산구 이태원로 29-0,서울특별시,용산구
11,11110,서울특별시,202410,포시즌스호텔/서울,경복궁,11110,24,종로구,호텔,11,숙박,숙박,서울 종로구 새문안로 97-0,서울특별시,종로구
11,11110,서울특별시,202410,청와대/춘추관,경복궁,11110,25,종로구,기타관광,11,관광지,기타관광,서울 종로구 청와대로 1-0,서울특별시,종로구
11,11110,서울특별시,202410,종려나무,경복궁,11110,26,종로구,한식,11,음식,음식,서울 종로구 율곡로 190-0,서울특별시,종로구
11,11140,서울특별시,202410,신라호텔/서울,경복궁,11110,27,종로구,호텔,11,숙박,숙박,서울 중구 동호로 249-0,서울특별시,중구
11,11110,서울특별시,202410,광화문,경복궁,11110,28,종로구,역사유적지,11,관광지,역사관광,서울 종로구 사직로 161-0,서울특별시,종로구
11,11140,서울특별시,202410,솔라고호텔,경복궁,11110,29,종로구,호텔,11,숙박,숙박,서울 중구 충무로2길 9-0,서울특별시,중구
11,11140,서울특별시,202410,밀리오레호텔/서울명동,경복궁,11110,30,종로구,호텔,11,숙박,숙박,서울 중구 퇴계로 115-0,서울특별시,중구
11,11140,서울특별시,202410,서울로얄호텔,경복궁,11110,31,종로구,호텔,11,숙박,숙박,서울 중구 명동길 61-0,서울특별시,중구
11,11140,서울특별시,202410,이비스앰배서더호텔/명동,경복궁,11110,32,종로구,호텔,11,숙박,숙박,서울 중구 남대문로 78-0,서울특별시,중구
11,11110,서울특별시,202410,국립민속박물관,경복궁,11110,33,종로구,전시시설,11,관광지,문화관광,서울 종로구 삼청로 37-0,서울특별시,종로구
11,11140,서울특별시,202410,포포인츠바이쉐라톤조선/서울명동,경복궁,11110,34,종로구,호텔,11,숙박,숙박,서울 중구 삼일대로10길 36-0,서울특별시,중구
11,11140,서울특별시,202410,정동경향아트힐,경복궁,11110,35,종로구,공연시설,11,관광지,문화관광,서울 중구 정동길 3-0,서울특별시,중구
11,11110,서울특별시,202410,통인시장,경복궁,11110,36,종로구,시장,11,관광지,쇼핑,서울 종로구 자하문로15길 18-0,서울특별시,종로구
11,11110,서울특별시,202410,궁의아침/[한식],경복궁,11110,37,종로구,한식,11,음식,음식,서울 종로구 사직로8길 4-0,서울특별시,종로구
11,11140,서울특별시,202410,롯데백화점/본점,경복궁,11110,38,종로구,백화점,11,관광지,쇼핑,서울 중구 남대문로 81-0,서울특별시,중구
11,11140,서울특별시,202410,나인트리프리미어호텔/명동2,경복궁,11110,39,종로구,호텔,11,숙박,숙박,서울 중구 마른내로 28-0,서울특별시,중구
11,11110,서울특별시,202410,경복궁/[한식],경복궁,11110,40,종로구,한식,11,음식,음식,서울 종로구 사직로 101-0,서울특별시,종로구
11,11140,서울특별시,202410,명동난타극장,경복궁,11110,41,종로구,공연시설,11,관광지,문화관광,서울 중구 명동길 26-0,서울특별시,중구
11,11530,서울특별시,202410,호텔베르누이서울,경복궁,11110,42,종로구,호텔,11,숙박,숙박,서울 구로구 경인로 229-0,서울특별시,구로구
11,11110,서울특별시,202410,아미드호텔/서울,경복궁,11110,43,종로구,호텔,11,숙박,숙박,서울 종로구 인사동5길 38-0,서울특별시,종로구
11,11290,서울특별시,202410,성북동면옥집,경복궁,11110,44,종로구,한식,11,음식,음식,서울 성북구 대사관로 40-0,서울특별시,성북구
11,11590,서울특별시,202410,신라스테이/구로,경복궁,11110,45,종로구,호텔,11,숙박,숙박,서울 동작구 시흥대로 596-0,서울특별시,동작구
11,11110,서울특별시,202410,자하손만두,경복궁,11110,46,종로구,한식,11,음식,음식,서울 종로구 백석동길 12-0,서울특별시,종로구
11,11140,서울특별시,202410,롯데영플라자/명동점,경복궁,11110,47,종로구,백화점,11,관광지,쇼핑,서울 중구 남대문로 67-0,서울특별시,중구
11,11290,서울특별시,202410,길상사,경복궁,11110,48,종로구,종교성지,11,관광지,역사관광,서울 성북구 선잠로5길 68-0,서울특별시,성북구
11,11110,서울특별시,202410,경희궁,경복궁,11110,49,종로구,역사유적지,11,관광지,역사관광,서울 종로구 새문안로 55-0,서울특별시,종로구
11,11290,서울특별시,202410,삼청각,경복궁,11110,50,종로구,기타문화관광지,11,관광지,문화관광,서울 성북구 대사관로 3-0,서울특별시,성북구
11,11410,서울특별시,202410,서대문형무소역사관,경찰박물관,11110,1,종로구,전시시설,11,관광지,문화관광,서울 서대문구 통일로 251-0,서울특별시,서대문구
11,11110,서울특별시,202410,서울역사박물관,경찰박물관,11110,2,종로구,전시시설,11,관광지,문화관광,서울 종로구 새문안로 55-0,서울특별시,종로구
11,11380,서울특별시,202410,수색유린기/[중식],경찰박물관,11110,3,종로구,외국식,11,음식,음식,서울 은평구 수색로 293-0,서울특별시,은평구
11,11410,서울특별시,202410,서대문독립공원,경찰박물관,11110,4,종로구,도시공원,11,관광지,문화관광,서울 서대문구 통일로 251-0,서울특별시,서대문구
11,11110,서울특별시,202410,팔각정북악스카이,경찰박물관,11110,5,종로구,랜드마크관광,11,관광지,문화관광,서울 종로구 북악산로 267-0,서울특별시,종로구
11,11230,서울특별시,202410,더리센츠호텔/동대문,경찰박물관,11110,6,종로구,호텔,11,숙박,숙박,서울 동대문구 천호대로 383-0,서울특별시,동대문구
11,11410,서울특별시,202410,서대문자연사박물관,경찰박물관,11110,7,종로구,전시시설,11,관광지,문화관광,서울 서대문구 연희로32길 51-0,서울특별시,서대문구
11,11170,서울특별시,202410,민주인권기념관,경찰박물관,11110,8,종로구,전시시설,11,관광지,문화관광,서울 용산구 한강대로71길 37-0,서울특별시,용산구
11,11140,서울특별시,202410,코리아나호텔/서울,경찰박물관,11110,9,종로구,호텔,11,숙박,숙박,서울 중구 세종대로 135-0,서울특별시,중구
11,11680,서울특별시,202410,포포인츠바이쉐라톤/서울강남,경찰박물관,11110,10,종로구,호텔,11,숙박,숙박,서울 강남구 도산대로 203-0,서울특별시,강남구
11,11140,서울특별시,202410,국립현대미술관/덕수궁관,경찰박물관,11110,11,종로구,전시시설,11,관광지,문화관광,서울 중구 세종대로 99-0,서울특별시,중구
11,11140,서울특별시,202410,크리스탈제이드/소공점,경찰박물관,11110,12,종로구,외국식,11,음식,음식,서울 중구 남대문로7길 16-0,서울특별시,중구
11,11140,서울특별시,202410,메이원호텔,경찰박물관,11110,13,종로구,모텔,11,숙박,숙박,서울 중구 명동10길 35-12,서울특별시,중구
11,11140,서울특별시,202410,롯데호텔/서울점,경찰박물관,11110,14,종로구,호텔,11,숙박,숙박,서울 중구 을지로 30-0,서울특별시,중구
11,11560,서울특별시,202410,글래드/여의도,경찰박물관,11110,15,종로구,호텔,11,숙박,숙박,서울 영등포구 의사당대로 16-0,서울특별시,영등포구
11,11140,서울특별시,202410,쌀박물관,경찰박물관,11110,16,종로구,전시시설,11,관광지,문화관광,서울 중구 새문안로 16-0,서울특별시,중구
11,11650,서울특별시,202410,더케이호텔/서울,경찰박물관,11110,17,종로구,호텔,11,숙박,숙박,서울 서초구 바우뫼로12길 70-0,서울특별시,서초구
11,11110,서울특별시,202410,대한민국역사박물관,경찰박물관,11110,18,종로구,전시시설,11,관광지,문화관광,서울 종로구 세종대로 198-0,서울특별시,종로구
